role,source,path,exists,size_bytes,sha256
direct_evidence_artifact,default_main_chain,06_analysis/citation_integrity_audit_20260707.md,True,2802,ebbb2a0c0a47c0cea0f17b1fea78ace144a6c20ff90aa3c0234d60f721f183bb
direct_evidence_artifact,default_main_chain,06_analysis/claim_evidence_audit_20260707.md,True,4174,359645ed0d60efb27ccf1efa96b320cb5e2b3b550f99efc5de33c104832cd78c
direct_evidence_artifact,default_main_chain,06_analysis/figure_table_provenance_audit_20260707.md,True,9368,26784d78d165c9cb5fac447f7cad91853cd433eb6e8393f1bfec5b54481f4859
direct_evidence_artifact,default_main_chain,06_analysis/figures/marl/p10_learned_component_ablation_b10_3ep/learned_ablation_b10_collision_tradeoff.png,True,81806,bb51da32388a5bfce50968d68f75c5069133543e99c11fca3baa57b87cf5ebbe
direct_evidence_artifact,default_main_chain,06_analysis/figures/marl/p10_learned_component_ablation_b10_3ep/learned_ablation_b10_discovery_efficiency.png,True,69363,8a564efcbe5f8a44eea57d184814159afbb09baf889b1ba8e9fd39529285563a
direct_evidence_artifact,default_main_chain,06_analysis/figures/marl/p10_paired_significance_primary/phase10_empty_scan_paired_deltas.png,True,62870,8197f7cfb9563a8187304650886c10b37cb2770ff0e8ecb6ded87a1e38d2c03b
direct_evidence_artifact,default_main_chain,06_analysis/figures/marl/p10_paired_significance_primary/phase10_primary_discovery_paired_deltas.png,True,55260,39041d98633909242688344514331ac041ffda47ddb59e17d075eca844c3de1e
direct_evidence_artifact,default_main_chain,06_analysis/paper_tables/marl/p10_final_b10_b15_method_comparison_with_v4/manifest.json,True,2525,bc8742f9ddd1bc93e37eaa6e81b45e251bb619b60b931a411fdc1248aa4de914
direct_evidence_artifact,default_main_chain,06_analysis/paper_tables/marl/p10_final_b10_b15_method_comparison_with_v4/marl_method_comparison.csv,True,14518,8235ba09bc2709921a8d1c80f29b31e850c56f43338475d61874f24de3a805bf
direct_evidence_artifact,default_main_chain,06_analysis/paper_tables/marl/p10_final_method_manifest_trace/manifest.json,True,609,215ef7b210349ce6547cc66a36bdc437378cd84ce0de39d5031626c754b51ec6
direct_evidence_artifact,default_main_chain,06_analysis/paper_tables/marl/p10_final_method_manifest_trace/phase10_method_manifest_trace.csv,True,17202,e49474b057dd4d6dd84fece0eae7c9a16ee39aa55968b1c0f958891390828020
direct_evidence_artifact,default_main_chain,06_analysis/paper_tables/marl/p10_final_method_manifest_trace/README.md,True,578,479e4f270f516a1f0efb8e8ef39125f804ba8339a2af0bcd29689950a6ccebd9
direct_evidence_artifact,default_main_chain,06_analysis/paper_tables/marl/p10_gate_family_v2_v3_v4_tradeoff_comparison/manifest.json,True,2603,d36e9032180ae3f715280d8bcfea8465c2b99509937789cd7bb26033a15a4f31
direct_evidence_artifact,default_main_chain,06_analysis/paper_tables/marl/p10_gate_family_v2_v3_v4_tradeoff_comparison/seed_tradeoff_core_metrics.csv,True,2613,10d65233584b9778257eb3ffdd9338f915ad962157802fa9a5fcb42ad9d06571
direct_evidence_artifact,default_main_chain,06_analysis/paper_tables/marl/p10_gate_family_v2_v3_v4_tradeoff_comparison/seed_tradeoff_method_comparison.csv,True,17488,e6325a04f3db2179f4ac300bf127895a4285ed4e1943f13d8cb2af1f8aa70240
direct_evidence_artifact,default_main_chain,06_analysis/paper_tables/marl/p10_gate_training_3seed_100ep_step_curves/manifest.json,True,6301,981159d89fe42f94a19520b895375474de9ea1b423dd0a93570bbf1dcfe3dfe6
direct_evidence_artifact,default_main_chain,06_analysis/paper_tables/marl/p10_gate_training_3seed_100ep_step_curves/marl_episode_metrics.csv,True,229810,d73987131ae3bc712a6f2e7d3ac1df99cc114c787f0a4e8de5923544ba280e26
direct_evidence_artifact,default_main_chain,06_analysis/paper_tables/marl/p10_gate_training_3seed_100ep_step_curves/marl_eval_episode_metrics.csv,True,124181,b989e4c05caba9649078805fe958dfac5e9755be1b9d0aa0c821acf3f15d5445
direct_evidence_artifact,default_main_chain,06_analysis/paper_tables/marl/p10_gate_training_3seed_100ep_step_curves/marl_resource_log.csv,True,237941,c2dc173be55f6620d68eff6d2d135569503a2f012fd3995edcc77edf78f2c2b0
direct_evidence_artifact,default_main_chain,06_analysis/paper_tables/marl/p10_gate_training_3seed_100ep_step_curves/marl_step_rewards.csv,True,34431147,c0873ff35a7c8638db71708c009a15d2b1d0fa248cb606a9705276d8fd459871
direct_evidence_artifact,default_main_chain,06_analysis/paper_tables/marl/p10_independent_rerun_gate31_b10_validation/manifest.json,True,5205,1997bcc982558e4086baa3fd40b8ab5e7ece1f8ab811c75cec1373cca2697957
direct_evidence_artifact,default_main_chain,06_analysis/paper_tables/marl/p10_independent_rerun_gate31_b10_validation/rerun_metric_summary.csv,True,607,be3e3134cc218a554fcd71c9e51154f4526446696ce2ef00257ab81305cd87ce
direct_evidence_artifact,default_main_chain,06_analysis/paper_tables/marl/p10_independent_rerun_gate31_b10_validation/rerun_source_file_hashes.csv,True,805,fa7807cc32f86bba303cbebee22b00f68c069215670f92927be8f288b1a129a8
direct_evidence_artifact,default_main_chain,06_analysis/paper_tables/marl/p10_independent_rerun_gate31_b10_validation/rerun_vs_original_comparison.csv,True,831,9fd6ab13aa50ff859a2461d8fcfa502201b6308b322877a6c9eb0d3f3d0def7f
direct_evidence_artifact,default_main_chain,06_analysis/paper_tables/marl/p10_learned_claim_boundary_audit/learned_claim_checks.csv,True,1617,39a9044afbf724749a64940b2b6593ee2a976f1de1420f32af3697cce6f85c79
direct_evidence_artifact,default_main_chain,06_analysis/paper_tables/marl/p10_learned_claim_boundary_audit/manifest.json,True,2079,689fd04e4aecfb5f921698874124d8751c03324a45719c3e1902f20079d5a250
direct_evidence_artifact,default_main_chain,06_analysis/paper_tables/marl/p10_learned_claim_boundary_audit/paired_episode_claim_checks.csv,True,1424,ec90d91a0884b008903ecc22f4bbf88820904f03cc2234744e7475c2b65abc4e
direct_evidence_artifact,default_main_chain,06_analysis/paper_tables/marl/p10_learned_claim_boundary_audit/README.md,True,505,4828b3b1d979405b04480a42d2d5027558bc6623a56d9b273dfa57d531aa1d48
direct_evidence_artifact,default_main_chain,06_analysis/paper_tables/marl/p10_learned_component_ablation_b10_3ep/ablation_metric_summary.csv,True,7117,3dc59ac4bc33926056d42776edb37cf87e0c9c5e9c92909654509dc1c2dd0448
direct_evidence_artifact,default_main_chain,06_analysis/paper_tables/marl/p10_learned_component_ablation_b10_3ep/ablation_run_index.csv,True,1599,cbe3f2d91f7f4ffde2e093c8fdce27860ca8eb769a90d0d75991865f8455e72c
direct_evidence_artifact,default_main_chain,06_analysis/paper_tables/marl/p10_learned_component_ablation_b10_3ep/ablation_source_file_hashes.csv,True,3508,09c8f28c1b653cc17c8273e36884983827323bc69975c2172503205851cc96b7
direct_evidence_artifact,default_main_chain,06_analysis/paper_tables/marl/p10_learned_component_ablation_b10_3ep/ablation_vs_trained_full.csv,True,3294,30d42291a289757ef15435a631363c8b92ddfd92598e0f1ad0613a2f3604c8c8
direct_evidence_artifact,default_main_chain,06_analysis/paper_tables/marl/p10_learned_component_ablation_b10_3ep/manifest.json,True,2915,0082a2fc0dbc779804e807046198d2e47616ee33ae94733a8ffb507c405e44d2
direct_evidence_artifact,default_main_chain,06_analysis/paper_tables/marl/p10_paired_significance_primary/manifest.json,True,1250,4c8bcc92cd2dc08cbf252524fcf7c97b8e9da3825fddcf0ee83edb1357ebb3cf
direct_evidence_artifact,default_main_chain,06_analysis/paper_tables/marl/p10_paired_significance_primary/primary_paired_delta_values.csv,True,34355,b78b17d1ac4b51146c0fe1567b26040473b08c2aedf2d68711e20e4e56c35c8d
